#,Date_Time_EDT,temp,lux
1,05/03/2024 06:48:59,17.97,2423.68
2,05/03/2024 07:48:59,16.26,3770.88
3,05/03/2024 08:48:59,19.56,10265.60
4,05/03/2024 09:48:59,25.61,57159.68
5,05/03/2024 10:48:59,22.73,18360.32
6,05/03/2024 11:48:59,27.97,44646.40
7,05/03/2024 12:48:59,36.16,34672.64
8,05/03/2024 13:48:59,35.43,30341.12
9,05/03/2024 14:48:59,29.47,25190.40
10,05/03/2024 15:48:59,23.89,16834.56
11,05/03/2024 16:48:59,21.62,9740.80
12,05/03/2024 17:48:59,20.16,11898.88
13,05/03/2024 18:48:59,16.26,2754.56
14,05/03/2024 19:48:59,14.50,413.28
15,05/03/2024 20:48:59,13.04,0.00
16,05/03/2024 21:48:59,11.41,0.00
17,05/03/2024 22:48:59,10.85,0.00
18,05/03/2024 23:48:59,10.16,0.00
19,05/04/2024 00:48:59,9.86,0.00
20,05/04/2024 01:48:59,9.69,0.00
21,05/04/2024 02:48:59,10.85,0.00
22,05/04/2024 03:48:59,11.07,0.00
23,05/04/2024 04:48:59,11.11,0.00
24,05/04/2024 05:48:59,11.19,26.65
25,05/04/2024 06:48:59,11.62,1063.68
26,05/04/2024 07:48:59,11.75,1360.00
27,05/04/2024 08:48:59,15.27,8926.72
28,05/04/2024 09:48:59,15.57,12282.88
29,05/04/2024 10:48:59,16.94,11479.04
30,05/04/2024 11:48:59,14.63,10915.84
31,05/04/2024 12:48:59,15.61,11566.08
32,05/04/2024 13:48:59,15.27,9728.00
33,05/04/2024 14:48:59,13.98,3727.36
34,05/04/2024 15:48:59,13.98,9620.48
35,05/04/2024 16:48:59,12.65,4487.68
36,05/04/2024 17:48:59,11.49,2014.72
37,05/04/2024 18:48:59,10.64,865.28
38,05/04/2024 19:48:59,10.16,51.62
39,05/04/2024 20:48:59,10.21,0.00
40,05/04/2024 21:48:59,10.04,0.00
41,05/04/2024 22:48:59,9.95,0.00
42,05/04/2024 23:48:59,9.86,0.00
43,05/05/2024 00:48:59,9.91,0.00
44,05/05/2024 01:48:59,9.86,0.00
45,05/05/2024 02:48:59,9.91,0.00
46,05/05/2024 03:48:59,9.82,0.00
47,05/05/2024 04:48:59,9.86,0.00
48,05/05/2024 05:48:59,9.82,11.61
49,05/05/2024 06:48:59,9.99,708.80
50,05/05/2024 07:48:59,10.38,2739.20
51,05/05/2024 08:48:59,10.55,2201.60
52,05/05/2024 09:48:59,11.15,3518.72
53,05/05/2024 10:48:59,11.79,5187.84
54,05/05/2024 11:48:59,12.65,5393.92
55,05/05/2024 12:48:59,13.60,6287.36
56,05/05/2024 13:48:59,14.93,11576.32
57,05/05/2024 14:48:59,15.83,15098.88
58,05/05/2024 15:48:59,15.31,5916.16
59,05/05/2024 16:48:59,15.31,3091.20
60,05/05/2024 17:48:59,15.96,3127.04
61,05/05/2024 18:48:59,16.34,3380.48
62,05/05/2024 19:48:59,15.53,141.28
63,05/05/2024 20:48:59,15.36,0.21
64,05/05/2024 21:48:59,14.88,0.00
65,05/05/2024 22:48:59,14.88,0.21
66,05/05/2024 23:48:59,14.80,0.00
67,05/06/2024 00:48:59,14.84,0.21
68,05/06/2024 01:48:59,14.84,0.21
69,05/06/2024 02:48:59,14.80,0.00
70,05/06/2024 03:48:59,14.75,0.21
71,05/06/2024 04:48:59,14.88,0.21
72,05/06/2024 05:48:59,14.75,38.95
73,05/06/2024 06:48:59,15.23,2113.92
74,05/06/2024 07:48:59,15.74,3020.80
75,05/06/2024 08:48:59,19.47,13583.36
76,05/06/2024 09:48:59,21.58,16266.24
77,05/06/2024 10:48:59,28.48,37191.68
78,05/06/2024 11:48:59,31.96,27002.88
79,05/06/2024 12:48:59,28.87,16256.00
80,05/06/2024 13:48:59,23.98,3427.84
81,05/06/2024 14:48:59,24.02,4890.88
82,05/06/2024 15:48:59,25.01,6942.72
83,05/06/2024 16:48:59,26.12,8092.16
84,05/06/2024 17:48:59,23.34,3747.84
85,05/06/2024 18:48:59,22.39,2195.20
86,05/06/2024 19:48:59,20.98,385.92
87,05/06/2024 20:48:59,19.05,0.00
88,05/06/2024 21:48:59,19.13,0.00
89,05/06/2024 22:48:59,18.79,0.00
90,05/06/2024 23:48:59,18.57,0.00
91,05/07/2024 00:48:59,18.23,0.00
92,05/07/2024 01:48:59,17.41,0.00
93,05/07/2024 02:48:59,16.99,0.00
94,05/07/2024 03:48:59,16.21,0.42
95,05/07/2024 04:48:59,16.08,0.00
96,05/07/2024 05:48:59,16.86,43.56
97,05/07/2024 06:48:59,17.76,2430.72
98,05/07/2024 07:48:59,18.57,3545.60
99,05/07/2024 08:48:59,20.50,6387.20
100,05/07/2024 09:48:59,32.30,66232.32
101,05/07/2024 10:48:59,36.33,79073.28
102,05/07/2024 11:48:59,48.09,81858.56
103,05/07/2024 12:48:59,51.74,81346.56
104,05/07/2024 13:48:59,53.24,73687.04
105,05/07/2024 14:48:59,41.57,14530.56
106,05/07/2024 15:48:59,36.21,22814.72
107,05/07/2024 16:48:59,30.93,8437.76
108,05/07/2024 17:48:59,29.56,3612.16
109,05/07/2024 18:48:59,27.02,1652.48
110,05/07/2024 19:48:59,24.66,422.56
111,05/07/2024 20:48:59,22.13,0.00
