#,Date_Time_EDT,temp,lux
1,05/02/2024 09:25:03,24.28,359.68
2,05/02/2024 10:25:03,22.82,0.00
3,05/02/2024 11:25:03,24.15,4820.48
4,05/02/2024 12:25:03,23.38,4129.28
5,05/02/2024 13:25:03,25.01,5011.20
6,05/02/2024 14:25:03,26.68,4394.24
7,05/02/2024 15:25:03,27.71,5393.92
8,05/02/2024 16:25:03,46.89,58920.96
9,05/02/2024 17:25:03,36.42,22374.40
10,05/02/2024 18:25:03,27.75,3102.72
11,05/02/2024 19:25:03,23.94,1104.32
12,05/02/2024 20:25:03,21.66,0.62
13,05/02/2024 21:25:03,21.32,0.00
14,05/02/2024 22:25:03,21.28,0.00
15,05/02/2024 23:25:03,19.90,0.00
16,05/03/2024 00:25:03,18.96,0.00
17,05/03/2024 01:25:03,18.44,0.00
18,05/03/2024 02:25:03,17.72,0.00
19,05/03/2024 03:25:03,17.03,0.00
20,05/03/2024 04:25:03,15.91,0.00
21,05/03/2024 05:25:03,15.14,0.00
22,05/03/2024 06:25:03,14.93,855.68
23,05/03/2024 07:25:03,15.78,2734.08
24,05/03/2024 08:25:03,20.46,6888.96
25,05/03/2024 09:25:03,26.34,22118.40
26,05/03/2024 10:25:03,21.19,9111.04
27,05/03/2024 11:25:03,21.28,11960.32
28,05/03/2024 12:25:03,22.09,15411.20
29,05/03/2024 13:25:03,20.68,9123.84
30,05/03/2024 14:25:03,20.55,12472.32
31,05/03/2024 15:25:03,20.68,12113.92
32,05/03/2024 16:25:03,24.84,24545.28
33,05/03/2024 17:25:03,19.86,6743.04
34,05/03/2024 18:25:03,17.80,2039.68
35,05/03/2024 19:25:03,14.71,968.64
36,05/03/2024 20:25:03,13.34,0.41
37,05/03/2024 21:25:03,12.48,0.00
38,05/03/2024 22:25:03,11.97,0.00
39,05/03/2024 23:25:03,11.88,0.00
40,05/04/2024 00:25:03,11.41,0.00
41,05/04/2024 01:25:03,11.28,0.00
42,05/04/2024 02:25:03,11.41,0.00
43,05/04/2024 03:25:03,12.10,0.00
44,05/04/2024 04:25:03,12.01,0.00
45,05/04/2024 05:25:03,12.05,0.00
46,05/04/2024 06:25:03,12.27,352.00
47,05/04/2024 07:25:03,12.61,857.60
48,05/04/2024 08:25:03,13.43,3325.44
49,05/04/2024 09:25:03,14.28,4394.24
50,05/04/2024 10:25:03,14.93,5091.84
51,05/04/2024 11:25:03,15.48,6128.64
52,05/04/2024 12:25:03,14.50,4965.12
53,05/04/2024 13:25:03,14.03,3797.76
54,05/04/2024 14:25:03,14.84,6568.96
55,05/04/2024 15:25:03,13.51,3592.96
56,05/04/2024 16:25:03,13.38,2730.24
57,05/04/2024 17:25:03,12.48,1577.60
58,05/04/2024 18:25:03,11.79,813.44
59,05/04/2024 19:25:03,11.58,179.84
60,05/04/2024 20:25:03,11.32,0.00
61,05/04/2024 21:25:03,11.45,0.00
62,05/04/2024 22:25:03,11.24,0.00
63,05/04/2024 23:25:03,11.15,0.00
64,05/05/2024 00:25:03,11.28,0.00
65,05/05/2024 01:25:03,11.15,0.00
66,05/05/2024 02:25:03,11.19,0.00
67,05/05/2024 03:25:03,11.24,0.00
68,05/05/2024 04:25:03,11.15,0.00
69,05/05/2024 05:25:03,11.24,0.00
70,05/05/2024 06:25:03,11.15,97.80
71,05/05/2024 07:25:03,11.11,488.64
72,05/05/2024 08:25:03,11.37,1112.00
73,05/05/2024 09:25:03,11.62,1675.52
74,05/05/2024 10:25:03,12.22,2726.40
75,05/05/2024 11:25:03,12.40,2822.40
76,05/05/2024 12:25:03,13.04,5035.52
77,05/05/2024 13:25:03,13.85,4384.00
78,05/05/2024 14:25:03,14.20,5095.68
79,05/05/2024 15:25:03,14.45,3649.28
80,05/05/2024 16:25:03,14.37,1346.56
81,05/05/2024 17:25:03,15.36,3206.40
82,05/05/2024 18:25:03,15.31,2066.56
83,05/05/2024 19:25:03,14.93,388.32
84,05/05/2024 20:25:03,14.75,0.20
85,05/05/2024 21:25:03,14.75,0.00
86,05/05/2024 22:25:03,14.54,0.00
87,05/05/2024 23:25:03,14.20,0.00
88,05/06/2024 00:25:03,14.58,0.00
89,05/06/2024 01:25:03,14.54,0.00
90,05/06/2024 02:25:03,14.63,0.00
91,05/06/2024 03:25:03,14.63,0.00
92,05/06/2024 04:25:03,14.58,0.00
93,05/06/2024 05:25:03,14.41,0.00
94,05/06/2024 06:25:03,14.50,579.04
95,05/06/2024 07:25:03,15.14,1831.68
96,05/06/2024 08:25:03,16.30,4924.16
97,05/06/2024 09:25:03,17.84,5803.52
98,05/06/2024 10:25:03,20.46,9809.92
99,05/06/2024 11:25:03,23.08,13419.52
100,05/06/2024 12:25:03,24.06,13127.68
101,05/06/2024 13:25:03,20.55,2202.24
102,05/06/2024 14:25:03,22.01,8130.56
103,05/06/2024 15:25:03,21.15,4578.56
104,05/06/2024 16:25:03,20.98,4189.44
105,05/06/2024 17:25:03,20.89,3884.80
106,05/06/2024 18:25:03,20.42,1994.24
107,05/06/2024 19:25:03,19.30,1752.96
108,05/06/2024 20:25:03,17.41,1.88
109,05/06/2024 21:25:03,17.29,0.00
110,05/06/2024 22:25:03,17.16,0.00
111,05/06/2024 23:25:03,17.33,0.00
112,05/07/2024 00:25:03,16.94,0.00
113,05/07/2024 01:25:03,16.86,0.00
114,05/07/2024 02:25:03,16.47,0.00
115,05/07/2024 03:25:03,16.00,0.00
116,05/07/2024 04:25:03,15.96,0.00
117,05/07/2024 05:25:03,16.30,0.20
118,05/07/2024 06:25:03,16.60,521.60
119,05/07/2024 07:25:03,16.94,2014.08
120,05/07/2024 08:25:03,21.70,4719.36
121,05/07/2024 09:25:03,24.41,10833.92
122,05/07/2024 10:25:03,24.45,11530.24
123,05/07/2024 11:25:03,21.79,4166.40
124,05/07/2024 12:25:03,22.01,3965.44
125,05/07/2024 13:25:03,22.39,4089.60
126,05/07/2024 14:25:03,23.68,5905.92
127,05/07/2024 15:25:03,25.65,6968.32
128,05/07/2024 16:25:03,30.89,7001.60
129,05/07/2024 17:25:03,31.49,12605.44
130,05/07/2024 18:25:03,23.16,2405.12
131,05/07/2024 19:25:03,21.49,801.28
132,05/07/2024 20:25:03,19.35,2.09
133,05/07/2024 21:25:03,18.53,0.00
134,05/07/2024 22:25:03,18.23,0.00
135,05/07/2024 23:25:03,18.06,0.00
136,05/08/2024 00:25:03,18.02,0.00
137,05/08/2024 01:25:03,17.97,0.00
138,05/08/2024 02:25:03,17.93,0.00
139,05/08/2024 03:25:03,17.93,0.00
140,05/08/2024 04:25:03,17.72,0.00
141,05/08/2024 05:25:03,17.93,0.00
142,05/08/2024 06:25:03,17.84,129.24
143,05/08/2024 07:25:03,18.44,1496.96
144,05/08/2024 08:25:03,19.86,3930.88
145,05/08/2024 09:25:03,21.83,8399.36
146,05/08/2024 10:25:03,23.08,8821.76
147,05/08/2024 11:25:03,24.45,9487.36
148,05/08/2024 12:25:03,26.98,12241.92
149,05/08/2024 13:25:03,25.22,6205.44
150,05/08/2024 14:25:03,25.69,3994.88
151,05/08/2024 15:25:03,28.40,6658.56
152,05/08/2024 16:25:03,40.54,41041.92
153,05/08/2024 17:25:03,28.35,6558.72
154,05/08/2024 18:25:03,25.48,2978.56
155,05/08/2024 19:25:03,23.34,1031.36
156,05/08/2024 20:25:03,21.10,2.93
157,05/08/2024 21:25:03,20.07,0.00
158,05/08/2024 22:25:03,20.07,0.00
159,05/08/2024 23:25:03,19.65,0.00
160,05/09/2024 00:25:03,19.13,0.00
161,05/09/2024 01:25:03,18.62,0.00
162,05/09/2024 02:25:03,18.19,0.00
163,05/09/2024 03:25:03,17.59,0.00
164,05/09/2024 04:25:03,17.07,0.00
165,05/09/2024 05:25:03,17.20,0.62
166,05/09/2024 06:25:03,17.50,639.52
167,05/09/2024 07:25:03,18.36,2410.24
168,05/09/2024 08:25:03,18.92,4015.36
169,05/09/2024 09:25:03,19.82,5265.92
170,05/09/2024 10:25:03,21.45,7439.36
171,05/09/2024 11:25:03,21.02,7272.96
172,05/09/2024 12:25:03,22.65,10472.96
173,05/09/2024 13:25:03,24.06,11033.60
174,05/09/2024 14:25:03,22.56,8942.08
175,05/09/2024 15:25:03,21.45,4890.88
176,05/09/2024 16:25:03,22.01,7104.00
177,05/09/2024 17:25:03,20.42,3897.60
178,05/09/2024 18:25:03,19.30,624.00
179,05/09/2024 19:25:03,18.36,504.00
180,05/09/2024 20:25:03,17.67,0.20
181,05/09/2024 21:25:03,16.08,0.00
182,05/09/2024 22:25:03,15.61,0.00
183,05/09/2024 23:25:03,15.27,0.00
184,05/10/2024 00:25:03,15.44,0.00
185,05/10/2024 01:25:03,14.80,0.00
186,05/10/2024 02:25:03,14.33,0.00
187,05/10/2024 03:25:03,14.11,0.00
188,05/10/2024 04:25:03,13.55,0.00
189,05/10/2024 05:25:03,13.00,0.00
190,05/10/2024 06:25:03,12.70,70.96
191,05/10/2024 07:25:03,12.27,860.80
192,05/10/2024 08:25:03,12.05,978.56
193,05/10/2024 09:25:03,12.10,1018.88
194,05/10/2024 10:25:03,12.18,2469.12
195,05/10/2024 11:25:03,12.48,2931.20
196,05/10/2024 12:25:03,12.95,3609.60
197,05/10/2024 13:25:03,12.48,1582.72
198,05/10/2024 14:25:03,12.44,2348.16
199,05/10/2024 15:25:03,12.95,4766.72
200,05/10/2024 16:25:03,12.44,2611.84
201,05/10/2024 17:25:03,12.52,3978.24
202,05/10/2024 18:25:03,12.40,1348.48
203,05/10/2024 19:25:03,11.28,95.28
204,05/10/2024 20:25:03,11.19,2.30
205,05/10/2024 21:25:03,10.94,0.00
206,05/10/2024 22:25:03,11.19,0.00
207,05/10/2024 23:25:03,11.11,0.00
208,05/11/2024 00:25:03,11.24,0.00
209,05/11/2024 01:25:03,11.11,0.00
210,05/11/2024 02:25:03,10.55,0.00
211,05/11/2024 03:25:03,10.89,0.00
212,05/11/2024 04:25:03,9.91,0.00
213,05/11/2024 05:25:03,9.56,1.46
214,05/11/2024 06:25:03,9.65,602.08
215,05/11/2024 07:25:03,10.85,1427.84
216,05/11/2024 08:25:03,16.17,4145.92
