;///,number,site,species,mesh,perc_n,perc_c,cn_ratio
Dana BA SYC 521,512,BA,Sycamore,Small,1.861469507,46.62456894,25.04718383
Dana BA ROL 402,402,BA,Red Oak,Large,1.008067966,48.1327858,47.74756011
Dana BA ROL 403,403,BA,Red Oak,Large,1.113334775,47.33545303,42.51681892
Dana BA ROL 407,407,BA,Red Oak,Large,1.429683447,48.46464539,33.89886446
Dana CC GKS 289,289,CC,Gingko,Small,1.642028332,47.52349854,28.94194797
Dana G SGS 344,344,G,Sweetgum,Small,0.758846104,42.01255417,55.36373441
Dana G SGL 322,322,G,Sweetgum,Large,0.839881539,46.51593018,55.38391785
Dana BA GKS 256,256,BA,Gingko,Small,1.515972495,42.22743225,27.85501214
Dana W SGL 334,334,W,Sweetgum,Large,1.110585451,46.67472839,42.02713834
Dana BA GKL 241,241,BA,Gingko,Large,1.682756066,47.2071991,28.05350106
Dana W GKL 244,244,W,Gingko,Large,1.5523417,47.21973419,30.41838933
Dana W GKL 209,209,W,Gingko,Large,1.523731709,46.27063751,30.36665658
Dana CC GKL 228,228,CC,Gingko,Large,1.403151989,46.91142654,33.43289032
Dana CC GKS 274,274,CC,Gingko,Small,1.388993263,47.40727234,34.13067118
Dana CC GKS 276,276,CC,Gingko,Small,1.50922811,47.21071625,31.28136557
Dana BA GKS 255,255,BA,Gingko,Small,1.451432824,41.1803627,28.37221401
Dana BA SGL 326,326,BA,Sweetgum,Large,1.19377172,43.23542786,36.21750049
Dana G SGS 362,362,G,Sweetgum,Small,0.948685408,44.95065689,47.38204734
Dana G SGL 301,301,G,Sweetgum,Large,0.8405357,43.18909454,51.38281994
Dana CC GKL 227,227,CC,Gingko,Large,1.369187593,41.95956421,30.64559189
Dana G SGL 315,315,G,Sweetgum,Large,0.879885614,45.82099152,52.07607761
Dana BA SGL 318,318,BA,Sweetgum,Large,1.288915634,41.81484604,32.44187977
Dana W GKS 280,280,W,Gingko,Small,1.466286302,48.34452438,32.97072634
Dana W SGL 339,339,W,Sweetgum,Large,1.17817986,47.91279602,40.6667926
Dana G SGS 360,360,G,Sweetgum,Small,0.840378344,45.54655838,54.19768215
Dana G SGL 320,320,G,Sweetgum,Large,0.8196491,36.78949738,44.88444794
Dana G GKS triangle,0,G,Gingko,Small,1.11487627,47.99290085,43.04773734
Dana BA GKS 251,251,BA,Gingko,Small,1.676189542,43.90953827,26.19604596
Dana BA GKL 240,240,BA,Gingko,Large,2.233509302,45.40594101,20.32941657
Dana  G SGL 313,313,G,Sweetgum,Large,0.76669091,46.17856598,60.23100755
Dana BA SGL 328,328,BA,Sweetgum,Large,0.922220111,39.9108696,43.27694563
Dana BA SGS 372,372,BA,Sweetgum,Small,1.082290173,39.53813171,36.53191419
Dana CC GKS 282,282,CC,Gingko,Small,1.457723498,47.99261856,32.92299165
Dana W GKL 208,208,W,Gingko,Large,1.793194771,46.39627838,25.87352982
Dana G ROS 4__,4,G,Red Oak,Small,0.857135773,46.31065369,54.02954253
Dana BA SGL 321,321,BA,Sweetgum,Large,1.14595902,42.65472794,37.22186152
Dana W GKL 211,211,W,Gingko,Large,1.714054346,45.74535751,26.68839388
Dana W GKS 279,279,W,Gingko,Small,1.542680144,48.11885452,31.1917248
Dana CC GKL 221,221,CC,Gingko,Large,1.381742716,38.88845062,28.14449476
Dana G GKL 216,216,G,Gingko,Large,1.450538754,47.21033096,32.54675604
Dana CC SYC 513,513,CC,Sycamore,Small,1.395450354,47.66422272,34.15687458
Dana BA SYC 524,524,BA,Sycamore,Small,1.657366276,41.99213791,25.33666729
Dana BA SYC 503,503,BA,Sycamore,Small,1.433904052,45.06428528,31.42768529
Dana G SYC 515,515,G,Sycamore,Small,1.348565221,44.50858307,33.00439785
Dana G SYC 508,508,G,Sycamore,Small,1.203759789,39.78668976,33.05201761
Dana G SYC 516,516,G,Sycamore,Small,1.255947232,44.80487442,35.67416948
Dana CC ROS 437,437,CC,Red Oak,Small,1.161649585,47.36291885,40.77212223
Dana G SYC 537,537,G,Sycamore,Small,1.124021649,46.22529221,41.1249127
Dana CC ROL 401,401,CC,Red Oak,Large,0.880071461,42.25303268,48.0109111
Dana W ROL 404,404,W,Red Oak,Large,0.998819172,47.82080078,47.87733566
Dana W ROS 441,441,W,Red Oak,Small,1.219225526,46.14157104,37.84498443
Dana W ROL 416,416,W,Red Oak,Large,1.105786204,47.48164749,42.93926557
Dana BA ROS 432,432,BA,Red Oak,Small,1.142324328,44.12121582,38.62407087
Dana W ROL 406,406,W,Red Oak,Large,1.040635586,45.89653397,44.10432873
Dana W ROS 429,429,W,Red Oak,Small,1.153297186,47.21702194,40.94089756
Dana BA SYC 512,512,BA,Sycamore,Small,1.598097205,42.99664307,26.90489848
Dana BA ROS 442,442,BA,Red Oak,Small,1.13086319,41.66222763,36.84108565
Dana BA ROL 421,421,BA,Red Oak,Large,1.17804122,46.31706619,39.3170166
Dana BA ROS 431,431,BA,Red Oak,Small,1.093690991,41.88182449,38.29401981
Dana BA ROS 433,433,BA,Red Oak,Small,1.212662816,41.99946213,34.63408094
Dana W SGS 384,384,W,Sweetgum,Small,1.070617318,46.21315384,43.16496012
Da na G SYC 530,530,G,Sycamore,Small,1.344509602,42.98393631,31.96997348
Dana CC SYC 506,506,CC,Sycamore,Small,1.235622168,47.09075546,38.11096685
Dana CC ROL 411,411,CC,Red Oak,Large,0.960418761,47.80187988,49.77191391
Dana W SGS 379,379,W,Sweetgum,Small,1.30504334,45.72927094,35.04042321
Dana W SGS 385,385,W,Sweetgum,Small,0.997435272,46.20864487,46.32746222
Dana G ROS 439,439,G,Red Oak,Small,0.850860655,46.50678253,54.6585181
Dana CC ROL 424,424,CC,Red Oak,Large,0.992479265,44.16463852,44.49930602
Dana G ROL 413,413,G,Red Oak,Large,0.904614031,46.60914612,51.52379303
Dana CC ROL 409,409,CC,Red Oak,Large,1.055519462,47.21322632,44.72984917
Dana W ROS 440,440,W,Red Oak,Small,0.952345371,47.5003624,49.87724394
Dana G ROS 428,428,G,Red Oak,Small,0.881480038,46.64382553,52.9153509
Dana G ROS 427,427,G,Red Oak,Small,0.909966052,44.86537933,49.304454
Dana CC ROS 451,451,CC,Red Oak,Small,0.924269617,47.56262207,51.45968364
Dana CC ROS 447,447,CC,Red Oak,Small,0.892276108,47.88502884,53.66615602
Dana CC ROS 430,430,CC,Red Oak,Small,0.957866132,48.44116592,50.57195812
Dana G ROL 417,417,G,Red Oak,Large,0.929081142,43.46183395,46.77937372
Dana CC ROS 438,438,CC,Red Oak,Small,0.883111656,48.2970314,54.68960928
Dana G ROL 423,423,G,Red Oak,Large,0.98146075,45.83446503,46.70025268
Dana G ROL 419,419,G,Red Oak,Large,0.896231294,47.43010712,52.92172618
Dana W ROS 446,446,W,Red Oak,Small,1.267914414,47.72771454,37.64269417
Dana BA SYC 501,501,BA,Sycamore,Small,1.826754451,41.35464478,22.63831614
Dana W SYC 5__,5,W,Sycamore,Small,1.580203652,47.8201824,30.26203763
Dana W GKL 201,201,W,Gingko,Large,1.400606632,47.91783662,34.21220171
Dana W SGL 338,338,W,Sweetgum,Large,0.921177983,46.96492475,50.98355107
Dana W SYC 536,536,W,Sycamore,Small,1.34044075,49.54572356,36.96226301
Dana W GKS 283,283,W,Gingko,Small,1.435271382,48.0582178,33.48371492
Dana W SGL 340,340,W,Sweetgum,Large,0.933883846,48.3217074,51.74273826
Dana W SGL 327,327,W,Sweetgum,Large,0.894843996,47.93802277,53.57137446
Dan W SYC 510,510,W,Sycamore,Small,1.605421185,48.53266031,30.23048453
Dama G GKS 271,271,G,Gingko,Small,1.110292196,45.71591335,41.17466871
Dana W SYC 535,535,W,Sycamore,Small,1.273240805,47.80619417,37.54685994
Dana W SGS 376,376,W,Sweetgum,Small,0.801042795,48.21047202,60.18463971
Dana W SYC 519,519,W,Sycamore,Small,1.102003694,48.49802696,44.00895137
Dana G SGS 349,349,G,Sweetgum,Small,0.712676823,46.75126599,65.59953189
Dana W SGS 380,380,W,Sweetgum,Small,0.859249353,48.09385287,55.97193955
Dana G SGS 361,361,G,Sweetgum,Small,0.644353867,44.63084961,69.2645019
Dana CC SYC 529,529,CC,Sycamore,Small,1.036803961,49.54324918,47.78458711
Dana CC SYC 527,527,CC,Sycamore,Small,1.105911851,48.45021554,43.81019654
Dana CC SYC 525,525,CC,Sycamore,Small,1.066111088,48.88278514,45.85149306
Dana G GKL 220 ANS,220,G,Gingko,Large,1.150324225,53.7271517,46.70609428
Dana CC SGS 358 ANS,358,CC,Sweetgum,Small,0.980672717,46.67510806,47.5949899
Dana CC SGS 353 ANS,353,CC,Sweetgum,Small,0.830864549,52.03799273,62.6311386
Dana CC SGL 304 ANS,304,CC,Sweetgum,Large,0.929346144,49.97148896,53.77058837
Dana CC SGL 332 ANS,332,CC,Sweetgum,Large,0.811451137,49.79456165,61.36483071
Dana BA GKL 239 ANS,239,BA,Gingko,Large,1.493855715,47.04433944,31.49188972
Dana BA GKS 252 ANS,252,BA,Gingko,Small,1.618753314,46.88728954,28.96506165
Dana G GKL 212 ANS,212,G,Gingko,Large,1.236503005,53.17651598,43.00556955
Dana W GKS 286 ANS,286,W,Gingko,Small,1.394997001,47.80835145,34.27129335
Dana G GKL 231 ANS,231,G,Gingko,Large,1.143599033,48.20552643,42.15247219
Dana BA SGS 373 ANS,373,BA,Sweetgum,Small,1.043467283,45.13318072,43.25308657
Dana G GKS 2__ ANS,2,G,Gingko,Small,1.247127175,48.24477592,38.6847283
Dana W GKS 248 ANS,248,W,Gingko,Small,1.398206115,50.73075004,36.28274079
Dana BA GKS 254 ANS,254,BA,Gingko,Small,1.447793007,43.64295635,30.14447241
Dana CC SGL 319 ANS,319,CC,Sweetgum,Large,0.878958821,51.33666373,58.40622166
Dana BA GKL 232 ANS,232,BA,Gingko,Large,1.630007625,50.66012835,31.07968796
Dana CC GKS 275 ANS,275,CC,Gingko,Small,1.22017622,51.40023458,42.12525514
Dana G GKL 223 ANS,223,G,Gingko,Large,1.131415248,49.32885237,43.59924657
Dana BA SGS 364 ANS,364,BA,Sweetgum,Small,1.015318155,46.68971032,45.98530036
Dana G GKS 269 ANS,269,G,Gingko,Small,1.260911226,49.70380754,39.4189587
Dana CC SGL 311 ANS,311,CC,Sweetgum,Large,1.006413102,50.41769392,50.09642047
Dana BA SGL 329 ANS,329,BA,Sweetgum,Large,1.114664197,49.2963987,44.22533605
Dana BA SGS 366 ANS,366,BA,Sweetgum,Small,1.235461712,45.83944955,37.10309199
Dana CC SGS 357 ANS,357,CC,Sweetgum,Small,0.954334557,50.69221366,53.11786447
Dana CC SGS 354 ANS,354,CC,Sweetgum,Small,1.011906266,51.70754802,51.09914797
Dana CC GKL 213 ANS,213,CC,Gingko,Large,1.482269168,50.4572126,34.04051956
Dana CC SGL 314 ANS,314,CC,Sweetgum,Large,1.07132268,52.45508762,48.96292088
Dana CC GKL 219 ANS,219,CC,Gingko,Large,1.493083119,52.87897832,35.41596422
Dana BA SGS 365 ANS,364,BA,Sweetgum,Small,1.325859666,38.68740968,29.1791135
Dana CC GKL 221 ANS,221,CC,Gingko,Large,1.534522653,51.145937,33.33019353
Dana BA GKL 203 ANS,203,BA,Gingko,Large,1.678830028,47.19760182,28.11338911
Dana CC SGS 355 ANS,355,CC,Sweetgum,Small,0.787128508,47.97433178,60.948538
Dana BA SGL 324 ANS,324,BA,Sweetgum,Large,1.168777585,49.17283672,42.07202239
Dana G GKS ANS,1,G,Gingko,Small,1.20138526,49.04955337,40.82749723
