Code,Common_Name,Species_Name,Mesh,Site,Int_wt_g,mass_loss_transport_g,Final_wt_g,Total_wt_lost_g,percent_wt_lost
GKL 219,Gingko,Ginkgo Biloba,Large,CC1,4,0.001,1.73636,2.26264,56.58014504
GKL 213,Gingko,Ginkgo Biloba,Large,CC1,4,0.016,0.94623,3.03777,76.24924699
GKL 228,Gingko,Ginkgo Biloba,Large,CC1,4.005,0.13,1.63719,2.23781,57.74993548
GKL 221,Gingko,Ginkgo Biloba,Large,CC1,3.998,0.077,1.86679,2.05421,52.38995154
GKL 227,Gingko,Ginkgo Biloba,Large,CC1,4.008,0.028,1.44218,2.53782,63.76432161
GKS 275,Gingko,Ginkgo Biloba,Small,CC1,3.997,0,2.45979,1.53721,38.45909432
GKS 276,Gingko,Ginkgo Biloba,Small,CC1,3.997,0,2.44442,1.55258,38.84363272
GKS 282,Gingko,Ginkgo Biloba,Small,CC1,4.001,0,2.41801,1.58299,39.56485879
GKS 289,Gingko,Ginkgo Biloba,Small,CC1,4.002,0.001,2.1654,1.8356,45.87853037
GKS 274,Gingko,Ginkgo Biloba,Small,CC1,4.003,0,2.52508,1.47792,36.92030977
GKL 201,Gingko,Ginkgo Biloba,Large,W2,3.996,0.106,2.59969,1.29031,33.16992288
GKL 211,Gingko,Ginkgo Biloba,Large,W2,4,0.107,2.97837,0.91463,23.4942204
GKL 209,Gingko,Ginkgo Biloba,Large,W2,4,0.088,2.31052,1.60148,40.93762781
GKL 208,Gingko,Ginkgo Biloba,Large,W2,4.001,0.088,1.95729,1.95571,49.97981089
GKL 244,Gingko,Ginkgo Biloba,Large,W2,3.996,0.06,2.27893,1.65707,42.10035569
GKS 283,Gingko,Ginkgo Biloba,Small,W2,3.995,0.001,2.50197,1.49203,37.35678518
GKS 280,Gingko,Ginkgo Biloba,Small,W2,3.995,0,2.37163,1.62337,40.6350438
GKS 286,Gingko,Ginkgo Biloba,Small,W2,4,0,2.6772,1.3228,33.07
GKS 279,Gingko,Ginkgo Biloba,Small,W2,4.006,0,2.42051,1.58549,39.57788318
GKS 248,Gingko,Ginkgo Biloba,Small,W2,4,0,2.32747,1.67253,41.81325
GKL 231,Gingko,Ginkgo Biloba,Large,CG3,3.999,0.049,2.70945,1.24055,31.40632911
GKS 281,Gingko,Ginkgo Biloba,Small,CG3,4,0,2.90958,1.09042,27.2605
GKS 265,Gingko,Ginkgo Biloba,Small,CG3,4,0,2.8953,1.1047,27.6175
GKL 212,Gingko,Ginkgo Biloba,Large,CG3,4,0.022,1.96554,2.01246,50.58974359
GKL 223,Gingko,Ginkgo Biloba,Large,CG3,4.009,0.029,1.99313,1.98687,49.92135678
GKS 269,Gingko,Ginkgo Biloba,Small,CG3,3.998,0,3.07135,0.92665,23.17783892
GKL 216,Gingko,Ginkgo Biloba,Large,CG3,4,0.01,1.98832,2.00168,50.16741855
GKS 271,Gingko,Ginkgo Biloba,Small,CG3,3.998,0,3.0663,0.9317,23.30415208
GKS 266,Gingko,Ginkgo Biloba,Small,CG3,4,0,2.80931,1.19069,29.76725
GKL 220,Gingko,Ginkgo Biloba,Large,CG3,4,0.01,1.44434,2.54566,63.80100251
GKL 203,Gingko,Ginkgo Biloba,Large,BA4,3.996,0.026,3.29486,0.67514,17.00604534
GKL 240,Gingko,Ginkgo Biloba,Large,BA4,4.001,0.037,2.13687,1.82713,46.09308779
GKL 239,Gingko,Ginkgo Biloba,Large,BA4,4.008,0.072,2.46379,1.47221,37.40370935
GKL 232,Gingko,Ginkgo Biloba,Large,BA4,4,0.031,2.2787,1.6903,42.58755354
GKL 241,Gingko,Ginkgo Biloba,Large,BA4,3.994,0.043,2.10951,1.84149,46.60820046
GKS 251,Gingko,Ginkgo Biloba,Small,BA4,4.008,0,3.10811,0.89989,22.45234531
GKS 254,Gingko,Ginkgo Biloba,Small,BA4,3.996,0,3.28713,0.70887,17.73948949
GKS 252,Gingko,Ginkgo Biloba,Small,BA4,4.009,0,3.12343,0.88557,22.08954852
GKS 255,Gingko,Ginkgo Biloba,Small,BA4,4,0.004,2.76264,1.23336,30.86486486
GKS 256,Gingko,Ginkgo Biloba,Small,BA4,4,0,2.49719,1.50281,37.57025
SGL 319,Sweetgum,Liquidambar styraciflua,Large,CC1,4.002,0.024,2.78459,1.19341,30.00025138
SGL 314,Sweetgum,Liquidambar styraciflua,Large,CC1,4.01,0.008,2.28112,1.72088,43.00049975
SGL 311,Sweetgum,Liquidambar styraciflua,Large,CC1,4,0.002,2.25729,1.74071,43.53951976
SGL 332,Sweetgum,Liquidambar styraciflua,Large,CG3,3.999,0.006,2.68594,1.30706,32.73378412
SGL 304,Sweetgum,Liquidambar styraciflua,Large,CC1,4.01,0.044,2.13193,1.83407,46.24483106
SGS 354,Sweetgum,Liquidambar styraciflua,Small,CC1,4,0.005,2.56843,1.42657,35.70888611
SGS 357,Sweetgum,Liquidambar styraciflua,Small,CC1,3.995,0,2.40719,1.58781,39.74493116
SGS 353,Sweetgum,Liquidambar styraciflua,Small,CC1,3.993,0,2.69323,1.29977,32.55121463
SGS 358,Sweetgum,Liquidambar styraciflua,Small,CC1,4.005,0.006,2.31222,1.68678,42.18004501
SGS 355,Sweetgum,Liquidambar styraciflua,Small,CC1,4,0.003,3.13265,0.86435,21.62496873
SGS 380,Sweetgum,Liquidambar styraciflua,Small,W2,4,0,2.63139,1.36861,34.21525
SGS 376,Sweetgum,Liquidambar styraciflua,Small,W2,4,0,2.71802,1.28198,32.0495
SGS 385,Sweetgum,Liquidambar styraciflua,Small,W2,4,0,2.6223,1.3777,34.4425
SGS 379,Sweetgum,Liquidambar styraciflua,Small,W2,4,0.013,2.67648,1.31052,32.86982694
SGS 384,Sweetgum,Liquidambar styraciflua,Small,W2,4,0,2.64913,1.35087,33.77175
SGL 340,Sweetgum,Liquidambar styraciflua,Large,W2,3.997,0.034,2.70048,1.26252,31.85768357
SGL 327,Sweetgum,Liquidambar styraciflua,Large,W2,3.996,0.003,2.45499,1.53801,38.5176559
SGL 338,Sweetgum,Liquidambar styraciflua,Large,W2,3.996,0.039,2.18572,1.77128,44.76320445
SGL 334,Sweetgum,Liquidambar styraciflua,Large,W2,4.002,0.062,2.48501,1.45499,36.9286802
SGL 339,Sweetgum,Liquidambar styraciflua,Large,W2,3.999,0.014,2.15555,1.82945,45.90840652
SGL 313,Sweetgum,Liquidambar styraciflua,Large,CG3,3.999,0.001,2.87036,1.12764,28.20510255
SGL 301,Sweetgum,Liquidambar styraciflua,Large,CG3,4.003,0.011,2.71901,1.27299,31.88852705
SGL 320,Sweetgum,Liquidambar styraciflua,Large,CG3,3.999,0.11,2.59506,1.29394,33.27179223
SGL 322,Sweetgum,Liquidambar styraciflua,Large,CG3,3.998,0.045,2.70476,1.24824,31.5770301
SGL 315,Sweetgum,Liquidambar styraciflua,Large,CG3,3.999,0.269,1.96254,1.76746,47.3849866
SGS 361,Sweetgum,Liquidambar styraciflua,Small,CG3,4.001,0.003,3.01302,0.98498,24.63681841
SGS 344,Sweetgum,Liquidambar styraciflua,Small,CG3,4.007,0.007,3.08692,0.91308,22.827
SGS 360,Sweetgum,Liquidambar styraciflua,Small,CG3,3.998,0,3.03677,0.96123,24.04277139
SGS 362,Sweetgum,Liquidambar styraciflua,Small,CG3,3.997,0,2.95508,1.04192,26.06755066
SGS 349,Sweetgum,Liquidambar styraciflua,Small,CG3,4.003,0.001,2.94367,1.05833,26.44502749
SGL 324,Sweetgum,Liquidambar styraciflua,Large,BA4,3.998,0.007,3.10389,0.88711,22.22776247
SGS 373,Sweetgum,Liquidambar styraciflua,Small,BA4,4,0,3.79177,0.20823,5.20575
SGS 372,Sweetgum,Liquidambar styraciflua,Small,BA4,4,0,3.94749,0.05251,1.31275
SGL 321,Sweetgum,Liquidambar styraciflua,Large,BA4,3.996,0.003,3.03565,0.95735,23.97570749
SGL 318,Sweetgum,Liquidambar styraciflua,Large,BA4,3.997,0.014,2.79717,1.18583,29.7722822
SGS 365,Sweetgum,Liquidambar styraciflua,Small,BA4,4.006,0,2.59733,1.40867,35.16400399
SGL 326,Sweetgum,Liquidambar styraciflua,Large,BA4,4.002,0.001,2.83182,1.16918,29.22219445
SGL 329,Sweetgum,Liquidambar styraciflua,Large,BA4,3.997,0.048,2.71403,1.23497,31.2729805
