Code,Site,duration_months,date_deployed,date_collected,tea_type,Initial_wt_g,Final_wt_g,total_mass_loss,percent_mass_loss
GT 001,NA,NA,NA,NA,Green,2.019,NA,#VALUE!,#VALUE!
GT 002,NA,NA,NA,NA,Green,1.854,NA,#VALUE!,#VALUE!
GT 003,CG3,2,5/7/24,7/1/24,Green,1.861,0.918,0.943,50.67
GT 004,CC1,6,5/6/24,11/1/24,Green,1.866,0.57246,1.29354,69.32
GT 005,CC1,6,5/6/24,11/1/24,Green,1.937,0.55544,1.38156,71.32
GT 006,CC1,6,5/6/24,11/1/24,Green,1.997,0.60552,1.39148,69.68
GT 007,BA4,4,5/2/24,8/29/24,Green,1.926,0.72076,1.20524,62.58
GT 008,CC1,2,5/6/24,7/1/24,Green,1.879,0.85,1.029,54.76
GT 009,CC1,2,5/6/24,7/1/24,Green,1.89,0.805,1.085,57.41
GT 010,CC1,4,5/6/24,8/29/24,Green,1.831,0.72048,1.11052,60.65
GT 011,CG3,6,5/7/24,11/1/24,Green,1.966,0.72131,1.24469,63.31
GT 012,CC1,6,5/6/24,11/1/24,Green,2.001,0.64149,1.35951,67.94
GT 013,NA,NA,NA,NA,Green,1.794,NA,#VALUE!,#VALUE!
GT 014,NA,NA,NA,NA,Green,1.926,NA,#VALUE!,#VALUE!
GT 015,CC1,6,5/6/24,11/1/24,Green,1.843,0.60276,1.24024,67.29
GT 016,CC1,2,5/6/24,7/1/24,Green,1.842,0.878,0.964,52.33
GT 017,NA,NA,NA,NA,Green,1.924,NA,#VALUE!,#VALUE!
GT 018,CG3,2,5/7/24,7/1/24,Green,1.963,0.886,1.077,54.87
GT 019,CC1,6,5/6/24,11/1/24,Green,1.924,0.62583,1.29817,67.47
GT 020,CC1,4,5/6/24,8/29/24,Green,1.847,0.71674,1.13026,61.19
GT 021,CC1,4,5/6/24,8/29/24,Green,1.84,0.75071,1.08929,59.2
GT 022,CG3,2,5/7/24,7/1/24,Green,1.868,0.958,0.91,48.72
GT 023,NA,NA,NA,NA,Green,1.894,NA,#VALUE!,#VALUE!
GT 024,CG3,6,5/7/24,11/1/24,Green,1.845,0.6679,1.1771,63.8
GT 025,CG3,4,5/7/24,8/29/24,Green,1.929,0.81885,1.11015,57.55
GT 026,BA4,6,5/2/24,11/1/24,Green,1.937,0.63696,1.30004,67.12
GT 027,BA4,2,5/2/24,7/1/24,Green,1.973,0.872,1.101,55.8
GT 028,BA4,6,5/2/24,11/1/24,Green,1.918,0.58256,1.33544,69.63
GT 029,BA4,6,5/2/24,11/1/24,Green,1.895,0.57278,1.32222,69.77
